id,sex,有名人のファッションを参考にする,異性の目を気にする,奇抜なファッションが好き,TPOに気をつかう,体型をカバーできる服を買う,好きなブランドがある
156,女性,No,No,No,No,No,No
157,女性,No,No,No,Yes,No,Yes
158,女性,No,No,No,No,No,Yes
159,女性,No,No,No,No,No,Yes
160,女性,No,No,No,Yes,Yes,No
161,男性,No,No,No,No,No,Yes
162,女性,No,No,No,No,No,No
163,男性,No,No,No,No,No,No
164,女性,No,No,No,Yes,No,Yes
165,女性,No,No,No,Yes,No,No
166,女性,No,No,No,No,No,Yes
167,女性,No,No,No,Yes,No,Yes
168,女性,No,No,No,No,Yes,No
169,女性,No,No,No,Yes,No,Yes
170,男性,No,No,No,Yes,No,No
171,男性,Yes,Yes,Yes,No,No,No
172,男性,Yes,No,No,Yes,Yes,Yes
173,女性,No,No,Yes,No,No,No
174,女性,No,No,No,Yes,No,Yes
175,女性,No,No,No,No,Yes,No
176,女性,Yes,No,Yes,Yes,No,Yes
177,女性,No,No,No,No,No,No
178,女性,No,No,No,No,No,No
179,男性,Yes,Yes,No,Yes,No,Yes
180,女性,Yes,Yes,No,Yes,Yes,Yes
181,女性,No,Yes,No,No,Yes,Yes
182,女性,Yes,No,No,Yes,No,Yes
183,女性,Yes,No,No,Yes,No,No
184,女性,No,No,No,Yes,Yes,No
185,男性,Yes,Yes,No,Yes,No,No
186,女性,Yes,No,No,No,Yes,Yes
187,男性,No,No,No,No,Yes,Yes
188,女性,No,No,No,Yes,No,No
189,男性,No,No,No,Yes,No,Yes
190,女性,No,No,No,No,No,Yes
191,女性,No,No,No,No,No,Yes
192,女性,No,No,No,Yes,Yes,Yes
193,男性,No,No,No,Yes,No,Yes
194,女性,Yes,No,No,No,Yes,Yes
195,女性,Yes,No,No,Yes,Yes,No
196,男性,No,Yes,No,No,No,No
197,女性,No,No,No,Yes,No,Yes
198,男性,No,No,No,No,No,Yes
199,男性,No,No,No,No,Yes,Yes
200,女性,No,No,No,Yes,No,No
201,女性,No,No,Yes,Yes,Yes,Yes
202,女性,No,No,No,No,Yes,No
203,女性,No,No,No,Yes,No,No
204,女性,Yes,No,Yes,No,No,Yes
205,女性,Yes,No,Yes,Yes,No,Yes
206,女性,No,No,No,No,No,Yes
207,女性,Yes,Yes,No,Yes,No,Yes
208,女性,No,No,No,Yes,Yes,No
209,男性,No,No,No,No,No,No
210,男性,No,Yes,No,Yes,No,Yes
211,女性,No,No,No,Yes,Yes,No
212,女性,No,Yes,No,Yes,Yes,No
213,女性,No,No,No,No,Yes,No
214,男性,No,No,No,No,No,No
215,女性,No,No,No,No,No,No
216,女性,No,No,No,Yes,Yes,No
217,女性,Yes,No,Yes,Yes,No,No
218,女性,No,No,No,Yes,Yes,No
219,女性,No,No,No,Yes,No,No
220,男性,No,No,No,No,No,Yes
221,女性,No,No,No,Yes,No,No
222,女性,No,No,No,Yes,No,No
223,男性,No,No,No,Yes,No,Yes
224,女性,No,No,No,Yes,Yes,No
225,男性,Yes,No,No,Yes,No,No
226,女性,No,No,No,No,Yes,No
227,女性,No,No,No,Yes,Yes,Yes
228,男性,No,No,No,Yes,No,No
229,男性,No,No,No,No,No,No
230,男性,No,No,No,No,No,Yes
231,女性,No,No,No,No,Yes,No
232,女性,No,No,No,No,No,No
233,男性,No,No,No,Yes,No,No
234,女性,Yes,No,No,Yes,No,No
235,女性,Yes,No,Yes,Yes,Yes,Yes
236,女性,No,No,No,Yes,No,Yes
237,女性,No,No,No,No,No,Yes
238,男性,No,No,No,Yes,No,Yes
239,女性,No,No,No,Yes,No,Yes
240,男性,No,No,No,Yes,No,Yes
241,男性,No,No,No,Yes,No,Yes
242,女性,No,No,No,Yes,Yes,No
243,男性,Yes,No,No,No,No,No
244,女性,No,No,No,Yes,No,Yes
245,男性,No,No,No,No,No,No
246,女性,No,No,No,No,No,No
247,女性,Yes,No,No,No,Yes,Yes
248,男性,No,Yes,No,Yes,No,No
249,女性,No,No,No,Yes,Yes,Yes
250,女性,No,No,No,Yes,Yes,Yes
251,男性,Yes,No,No,Yes,No,No
252,女性,No,No,No,Yes,No,No
253,女性,No,No,No,Yes,No,No
254,女性,Yes,No,No,No,No,No
255,女性,No,No,No,Yes,No,No
256,男性,No,No,Yes,Yes,No,Yes
257,女性,No,No,No,Yes,No,Yes
258,女性,No,No,No,No,No,Yes
259,女性,No,No,No,No,No,No
260,男性,No,No,No,Yes,No,Yes
261,女性,No,No,No,Yes,No,No
262,女性,No,No,No,Yes,Yes,Yes
263,女性,No,No,No,No,No,No
264,男性,No,No,No,Yes,No,Yes
265,男性,Yes,Yes,No,No,Yes,Yes
266,女性,No,No,No,Yes,No,No
267,女性,No,No,No,No,No,Yes
268,男性,No,No,No,Yes,No,Yes
269,男性,No,No,Yes,Yes,No,Yes
270,女性,No,No,No,No,No,No
271,女性,Yes,No,Yes,Yes,Yes,Yes
272,女性,Yes,No,No,No,Yes,No
273,男性,No,No,No,Yes,No,No
274,女性,No,No,No,No,No,Yes
275,女性,No,No,No,Yes,No,No
276,男性,No,No,No,No,No,Yes
277,男性,No,No,No,No,No,No
278,女性,No,No,No,Yes,No,No
279,女性,No,No,No,No,Yes,No
280,女性,No,No,No,No,No,Yes
281,女性,No,No,No,No,No,No
282,男性,No,Yes,Yes,No,No,No
283,女性,No,No,No,Yes,Yes,Yes
284,女性,No,No,No,Yes,No,Yes
285,男性,No,No,Yes,No,No,Yes
286,女性,Yes,No,Yes,No,Yes,Yes
287,女性,No,No,No,No,No,No
288,女性,Yes,No,Yes,Yes,No,Yes
289,女性,No,No,No,Yes,No,No
290,女性,Yes,No,No,Yes,No,No
291,女性,No,No,No,Yes,No,No
292,女性,No,No,No,No,No,No
293,女性,No,No,No,No,No,No
294,男性,No,No,Yes,No,No,Yes
295,女性,No,No,No,No,No,No
296,女性,No,No,Yes,Yes,No,Yes
297,女性,No,No,No,Yes,No,No
298,女性,Yes,No,No,Yes,No,No
299,女性,Yes,No,No,Yes,No,No
300,女性,Yes,No,No,No,No,No
301,女性,No,No,No,No,No,No
302,女性,No,No,No,Yes,Yes,No
303,女性,No,No,No,Yes,No,Yes
304,女性,Yes,Yes,No,Yes,Yes,Yes
305,男性,No,No,No,No,No,No
306,女性,No,No,No,Yes,No,Yes
307,女性,No,No,No,Yes,No,Yes
308,女性,No,No,No,Yes,Yes,Yes
309,男性,No,No,Yes,No,No,No
310,女性,No,No,No,Yes,No,No
311,女性,No,No,No,No,No,No
312,男性,No,No,Yes,No,Yes,Yes
313,女性,Yes,No,No,No,Yes,Yes
314,男性,Yes,No,No,Yes,Yes,No
315,女性,Yes,No,No,Yes,No,No
316,男性,No,No,No,Yes,No,No
